"Title","Subtitle","Review Score","Ratings","Author","Age","ABSR","# Of Pages","KWT","Price","DY Sales","MO Sales","Sales Page"
"Wine Folly Wine Tasting Journal and Aroma Chart Bundle -","",4.2,14," ","-","-",160,"No","$ 34.99","-","-","https://www.amazon.com/Folly-Tasting-Journal-Aroma-Bundle/dp/B0BKH8KD59"
"Wine Folly","the essential guide to wine",4.8,2824,"madeline puckette",3846,20912,240,"No","$ 11.14","$ 106","$ 2,446","https://www.amazon.com/Wine-Folly-Essential-Guide/dp/1592408990"
"Wine Folly Wine Map","a totally approachable guide from a world class sommelier|notebook for wine tasting notes   impressions for wine lovers","-","-","iago forrest khan",839,2745450,120,"No","$ 10.95","$ 1","$ 11","https://www.amazon.com/Wine-Folly-Map-Approachable-World-Class/dp/B0CQX919M3"
"Wine Journal","",4.6,433,"papeterie bleu",2664,553256,108,"No","$ 6.99","$ 2","$ 7","https://www.amazon.com/Wine-Journal-Notebook-Diary-Lovers/dp/1640014888"
"Wine folly tasting journal in home and kitchen","7.5 x 9.25 inch with 108 pages wine tasting journal","-","-","wineman edition",1662,8014590,108,"No","$ 11.35","$ 0","$ 11","https://www.amazon.com/Wine-folly-tasting-journal-kitchen/dp/B09GJML3YJ"
"Wine Tasting Journal","notebook for wine tasting notes   impressions for wine lovers | wine label design | black",5,2,"laura lavaux",1586,2771697,114,"No","$ 8.99","$ 0","$ 9","https://www.amazon.com/Wine-Tasting-Journal-Impressions-Notebooks/dp/B09MDH6ZP3"
"Wine Folly","journal to write in tasting notes   impression",5,1,"colour art",2156,5433997,120,"No","$ 5.99","$ 0","$ 6","https://www.amazon.com/Wine-Folly-Journal-Tasting-Impression/dp/B088B96K27"
"Wine Journal","tasting and impressions   wine folly notebook and diary - 7.5 x 9.25 inches - 110 pages","-","-","pod moxie",1774,4861176,110,"No","$ 4.99","$ 0","$ 5","https://www.amazon.com/Wine-Journal-Tasting-Impressions-Notebook/dp/B095PLHY1X"
