"category","sales1","sales10","largePublisher","kindleUnlimited"
"Books > Cookbooks, Food & Wine",505,84,"76%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine",66,18,"60%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Homebrewing, Distilling & Wine Making",27,9,"71%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Wine & Spirits",51,11,"78%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Wine & Spirits > Champagne",5,1,"70%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Wine & Spirits > Collecting",11,1,"24%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Wine & Spirits > Spirits",51,9,"82%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Wine & Spirits > Wine",27,7,"78%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Wine & Spirits > Wine Pairing",9,2,"63%","N/A"
"Books > Cookbooks, Food & Wine > Beverages & Wine > Wine & Spirits > Wine Tasting",27,4,"84%","N/A"
"Books > Humor & Entertainment > Humor",1038,216,"52%","N/A"
